sample_name,condition,soil
BS.1,BS,s18
BS.10,BS,s17
BS.11,BS,s17
BS.12,BS,s17
BS.2,BS,s17
BS.3,BS,s17
BS.4,BS,s18
BS.5,BS,s18
BS.6,BS,s18
BS.7,BS,s18
BS.8,BS,s18
BS.9,BS,s17
COI1.16.1,COI1,s18
COI1.16.10,COI1,s18
COI1.16.2,COI1,s18
COI1.16.3,COI1,s18
COI1.16.4,COI1,s18
COI1.16.5,COI1,s18
COI1.16.6,COI1,s18
COI1.16.7,COI1,s18
COI1.16.8,COI1,s18
COI1.16.9,COI1,s18
Col0.1,Col0,s17
Col0.10,Col0,s17
Col0.11,Col0,s17
Col0.12,Col0,s18
Col0.2,Col0,s18
Col0.3,Col0,s18
Col0.4,Col0,s17
Col0.5,Col0,s17
Col0.6,Col0,s17
Col0.7,Col0,s18
Col0.8,Col0,s18
Col0.9,Col0,s17
CTR1.1,CTR1,s17
CTR1.2,CTR1,s17
CTR1.3,CTR1,s17
CTR1.4,CTR1,s17
CTR1.5,CTR1,s17
CTR1.6,CTR1,s17
CTR1.7,CTR1,s17
CTR1.8,CTR1,s17
CTR1.9,CTR1,s17
HSM.1,HSM,s17
HSM.10,HSM,s18
HSM.11,HSM,s17
HSM.12,HSM,s17
HSM.2,HSM,s18
HSM.3,HSM,s17
HSM.4,HSM,s17
HSM.5,HSM,s17
HSM.6,HSM,s17
HSM.7,HSM,s18
HSM.8,HSM,s17
HSM.9,HSM,s18
MYC2OX.1,MYC2OX,s17
MYC2OX.2,MYC2OX,s17
MYC2OX.3,MYC2OX,s17
MYC2OX.4,MYC2OX,s17
MYC2OX.5,MYC2OX,s17
MYC2OX.6,MYC2OX,s17
MYC2OX.7,MYC2OX,s17
MYC2OX.8,MYC2OX,s17
MYC2OX.9,MYC2OX,s17
W.coi1.10,W.coi1,s18
W.coi1.9,W.coi1,s18
W.Col0.1,W.Col0,s18
W.Col0.10,W.Col0,s18
W.Col0.2,W.Col0,s18
W.Col0.3,W.Col0,s18
W.Col0.4,W.Col0,s18
W.Col0.5,W.Col0,s18
W.Col0.6,W.Col0,s18
W.Col0.7,W.Col0,s18
W.Col0.8,W.Col0,s18
W.Col0.9,W.Col0,s18
